Medicine Type,Width (mm),Height (mm),Mask Area (mm^2),Perimeter (mm),Aspect Ratio,Extent,Solidity,Chain Code Length,Chain Code,Histogram R Mean,Histogram R StdDev,Histogram G Mean,Histogram G StdDev,Histogram B Mean,Histogram B StdDev,Histogram Gray Mean,Histogram Gray StdDev
Flask,19.7,31.52,465.79,109.34,0.63,0.75,0.87,319,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 4, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 1, 1, 0, 0, 2, 3, 1, 1, 0, 0, 1, 2, 2, 1, 1, 0, 1, 0, 2, 1, 0, 1, 0, 7, 0, 7, 7, 7, 7, 0, 7, 6, 0, 7, 7, 6, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 6, 7, 0, 1, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 0, 7, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 6, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 3, 4, 4, 6, 5, 6, 5, 6, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 1, 2, 3, 4, 6, 5, 3, 3, 4, 5, 6, 5, 5, 5, 6, 6, 7, 7, 6, 7, 6, 7, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",19.49,28.04,15.34,32.06,2.73,6.17,19.21,35.24
,,,,,,,,,,,,,,,,,
Flask,18.86,29.71,409.47,112.01,0.63,0.73,0.86,344,"[2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 4, 5, 5, 4, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 0, 0, 2, 2, 1, 1, 1, 0, 1, 0, 2, 1, 0, 1, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 6, 0, 7, 7, 6, 5, 5, 5, 6, 0, 0, 1, 2, 7, 7, 7, 7, 6, 7, 7, 7, 5, 5, 5, 5, 6, 4, 5, 5, 5, 6, 6, 7, 7, 7, 6, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 6, 5, 5, 5, 5, 5, 4, 6, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 5, 6, 5, 6, 5, 5, 3, 3, 4, 5, 6, 5, 6, 5, 6, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 2, 3, 4, 6, 5, 3, 3, 4, 6, 5, 5, 5, 5, 6, 6, 7, 7, 6, 7, 6, 7, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 4, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",101.51,144.43,100.82,152.9,105.41,171.86,102.32,152.99
,,,,,,,,,,,,,,,,,
Flask,20.0,31.52,468.09,109.55,0.63,0.74,0.87,323,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 0, 1, 7, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 6, 7, 0, 7, 6, 5, 4, 6, 6, 0, 1, 0, 2, 7, 7, 7, 7, 7, 7, 7, 4, 6, 7, 5, 5, 5, 6, 6, 7, 7, 7, 6, 3, 3, 4, 1, 2, 2, 4, 5, 5, 5, 6, 6, 7, 0, 6, 0, 0, 7, 5, 5, 5, 5, 5, 6, 5, 5, 6, 6, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 6, 7, 6, 7, 6, 7, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.95,23.6,22.87,29.21,22.58,26.44,22.88,28.96
,,,,,,,,,,,,,,,,,
Flask,20.0,31.52,468.14,111.55,0.63,0.74,0.87,330,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 0, 1, 7, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 6, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 6, 7, 4, 5, 5, 6, 7, 0, 0, 1, 2, 7, 0, 7, 7, 6, 7, 0, 7, 5, 4, 6, 5, 4, 6, 5, 5, 5, 5, 5, 6, 7, 7, 7, 7, 7, 0, 1, 2, 3, 3, 4, 1, 1, 7, 7, 7, 7, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 7, 7, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 6, 7, 6, 7, 6, 7, 6, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 4, 5, 5, 6, 6, 5, 5, 6, 4, 6, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.86,23.16,22.79,29.81,22.57,26.9,22.8,28.94
,,,,,,,,,,,,,,,,,
Flask,19.7,31.04,452.8,104.79,0.63,0.74,0.87,315,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 7, 7, 7, 0, 7, 7, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 6, 7, 7, 7, 7, 5, 4, 5, 6, 7, 0, 0, 0, 2, 7, 7, 7, 7, 7, 7, 3, 4, 6, 5, 6, 6, 5, 5, 5, 5, 5, 6, 6, 0, 7, 6, 0, 0, 1, 1, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 6, 7, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 6, 7, 6, 7, 6, 7, 6, 5, 6, 5, 5, 5, 5, 6, 5, 5, 5, 4, 5, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.73,24.47,22.66,29.6,22.41,26.15,22.67,29.03
,,,,,,,,,,,,,,,,,
